Municipality,Region,Population,Census,Election Year,Candidate Name,Sex,Age,Position,Winner,ID Number,Size of Council,Number of Votes Obtained,Total Votes in Election,Eligible Voters,Campaign Spending,Type of Election,Incumbent,Years of Service,Acclaimed/Elected,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Gatherall, Michael F.",1,.,3,2,,7,239,577,828,,1,2,0,3,,,,,,
Bay Bulls,1,"1,078",2006,2009,"O'Driscoll Jr., Patrick",1,.,3,1,,7,357,577,828,,1,2,0,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Penney, Scott",1,.,3,1,,7,345,577,828,,1,1,3,2,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Joyce, Terry",1,.,3,2,,7,164,577,828,,1,2,0,3,,,,,,
Bay Bulls,1,"1,078",2006,2009,"Tiboo, Gloria",2,5,3,2,,7,142,577,828,,1,2,0,3,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Mulcahy, Gearald",1,.,3,1,,7,220,457,839,,1,2,0,2,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Mullowney, Harold",1,.,3,1,,7,311,457,839,,1,1,23,2,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Sulivan, Jason",1,.,3,1,,7,214,457,839,,1,1,1,2,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Roche, Blair",1,.,3,2,,7,133,457,839,,1,2,0,3,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Sears, Kerry",1,.,3,2,,7,179,457,839,,1,2,0,3,,,,,,
Bay Bulls,1,"1,283",2011,2013,"O'Driscoll, Keith",1,.,3,1,,7,285,457,839,,1,2,0,2,,,,,,
Bay Bulls,1,"1,283",2011,2013,"O'Driscoll, Patrick",1,.,3,1,,7,313,457,839,,1,1,4,2,,,,,,
Bay Bulls,1,"1,283",2011,2013,"O'Brien, Kevin",1,.,3,2,,7,185,457,839,,1,2,0,3,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Maloney, Douglas",1,.,3,1,,7,275,457,839,,1,1,4,2,,,,,,
Bay Bulls,1,"1,283",2011,2013,"Luby, Christa ",2,3,3,1,,7,228,457,839,,1,1,1,2,,,,,,
Bay Bulls,1,"1,500",2016,2017,"Maloney, Eric",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Bay Bulls,1,"1,500",2016,2017,"Mullowney, Harold",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Bay Bulls,1,"1,500",2016,2017,"O'Brien, Kevin",1,.,3,1,,7,1,1,1,,4,.,.,1,,,,,,
Bay Bulls,1,"1,500",2016,2017,"Luby, Joan",2,.,3,1,,7,1,1,1,,4,1,,1,,,,,,
Bay Bulls,1,"1,500",2016,2017,"O'Driscoll, Wendy",2,.,3,1,,7,1,1,1,,4,1,,1,,,,,,
Bay Bulls,1,"1,500",2016,2017,"Tucker, Evelyn",2,.,3,1,,7,1,1,1,,4,1,,1,,,,,,
Bay de Verde,1,470,2006,2009,"Broderick, Gerald",1,.,3,1,,7,81,146,312,,1,2,0,2,,,,,,
Bay de Verde,1,470,2006,2009,"Murphy, Gerald",1,.,3,1,,7,105,146,312,,1,1,12,2,,,,,,
Bay de Verde,1,470,2006,2009,"Coish, Gordon",1,.,3,1,,7,83,146,312,,1,1,20,2,,,,,,
